Job_Title,City,Yrs_of_Exp,Salary
HR Staff,"Kuningan, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Finance Admin ,"Kuningan, Jakarta", Kurang dari setahun, IDR 2.000.000 - 3.000.000
Staff Regulatory dan Quality Assurance,Jakarta, Kurang dari setahun, IDR 3.500.000 - 5.000.000
Content Writer,"Cengkareng, Jakarta", 1 – 3 tahun,
Virtual Assistant,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 14.740.000
HRGA Coordinator,"Kemang, Jakarta", Kurang dari setahun,Login to view estimated salary by Glints.
Sales Executive,"Kuningan, Jakarta", Kurang dari setahun,
Drafter / Junior Architect,Jakarta, 3 – 5 tahun,
Technical Writer,"Tanjung Priok, Jakarta", Kurang dari setahun,
Copywriter,Tangerang, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Admin Online Shop / Marketplace,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.500.000
Direct Sales Supervisor,"Cipayung, Jakarta", Kurang dari setahun, IDR 3.200.000 - 3.500.000
Banking IT Support,Bekasi, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
HR Intern ,"Palmerah, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 5.000.000
Sales Manager,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 3.500.000
Management Trainee,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.000.000
IT Project Manager,"Kemang, Jakarta", 1 – 3 tahun,
Graphic Designer,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 4.000.000
Field Operations (Paid Internship - BSD City Area),Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
Business Analyst ,Bogor, Kurang dari setahun, IDR 4.500.000 - 4.800.000
Event Specialist,Bandung, Kurang dari setahun,
Crew Outlet  Summarecon Mall Serpong,Jakarta, 3 – 5 tahun, IDR 9.000.000 - 15.000.000
Staff Delivery,Jakarta,, IDR 4.000.000 - 14.000.000
Accounting/Finance,Bogor,,
Human Resources General Affair . HR . HRD. HRGA,"Tebet, Jakarta", 5 – 10 tahun, IDR 15.000.000 - 18.000.000
Finance Tax Manager,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Culture and Training Development Staff (HR),"Sunter, Jakarta",,
Research Grants Officer (Research and Development),"Kembangan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 9.000.000
BAR CREW RESTAURANT,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 4.500.000
HR Legal Manager,, Kurang dari setahun, IDR 3.000.000 - 3.800.000
UI/UX,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 4.600.000 - 5.400.000
Host Live Stream,Tangerang, 3 – 5 tahun, IDR 4.800.000 - 8.000.000
Recruitment Specialist,Tangerang, 1 – 3 tahun,
Research Associate,, 3 – 5 tahun, IDR 10.000.000 - 15.000.000
Quality Assurance (Manual Testing),"Kuningan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.500.000
Staff Pajak,"Pasar Minggu, Jakarta", 1 – 3 tahun, IDR 4.700.000 - 5.500.000
HR Recruitment and Training Jr Spv,Tangerang, Kurang dari setahun, IDR 1.800.000 - 2.800.000
Admin Staff,"Penjaringan, Jakarta", 3 – 5 tahun,
Admin Cutting Intern,"Kemang, Jakarta", 3 – 5 tahun,Login to view estimated salary by Glints.
Graphic Designer Intern,Tangerang, Kurang dari setahun,Login to view estimated salary by Glints.
Partnership Associate (6 Months Contract),"Cilandak, Jakarta", Kurang dari setahun,
HR Intern,"Penjaringan, Jakarta", 1 – 3 tahun,
ADMIN TEKNIK,Bandung, 1 – 3 tahun, IDR 5.000.000 - 6.500.000
Administration Internship ,Bandung, 1 – 3 tahun, IDR 4.599.900
IT Internship,Bogor, 1 – 3 tahun,
Junior Creative,Jakarta, Kurang dari setahun,
Young Leader (Management Trainee),"Jatinegara, Jakarta", Kurang dari setahun, IDR 1.500.000
Accouting Staff,Yogyakarta, Kurang dari setahun, IDR 3.000.000 - 4.000.000
ADMIN HRD,Jakarta, 1 – 3 tahun,
Tutor Part time,Tangerang, 1 – 3 tahun, IDR 2.000.000 - 2.600.000
Marketing intern,Jakarta, 1 – 3 tahun, IDR 5.000.000
DATA SCIENTIST,South Tangerang, Kurang dari setahun,
License and Permit Officer,Jakarta, Kurang dari setahun,
E-commerce Operation Manager,"Kemang, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Finance-Accounting Executive,"Kemayoran, Jakarta",,
Business Development,Bandung, Kurang dari setahun,
Project Admin,"Gambir, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 5.000.000
UI/UX Designer,"Gambir, Jakarta", 1 – 3 tahun, IDR 3.800.000 - 4.000.000
Face to face interviewer / surveyor,Jakarta, Kurang dari setahun, IDR 1.000.000 - 1.500.000
Content Creator,"Palmerah, Jakarta", 1 – 3 tahun, IDR 7.000.000 - 15.000.000
Brand Manager,"Mampang Prapatan, Jakarta", 1 – 3 tahun,
Senior Operational,Yogyakarta, 1 – 3 tahun, IDR 7.000.000 - 9.000.000
Accounting Supervisor,, 3 – 5 tahun, IDR 6.000.000 - 8.000.000
Social Media Specialist,"Gambir, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Sales Admin (Wanita),Tangerang, 1 – 3 tahun, IDR 6.000.000 - 6.500.000
Finance Accounting Tax Supervisor,Bandung, 1 – 3 tahun, IDR 6.000.000 - 12.500.000
SOCIAL MEDIA,"Menteng, Jakarta",, IDR 1.000.000 - 3.000.000
Magang UI/UX-Designer,"Kebon Jeruk, Jakarta",,
Payroll Officer,Jakarta, Kurang dari setahun,
Creative Team ( Desain Grafis / Graphic Design ),Jakarta, 1 – 3 tahun, IDR 15.000.000 - 25.000.000
CLIENT REPRESENTATIVE (Junior),Tangerang, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Marketing Staff,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Purchasing,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
"Website Developer (Native, HTML5/CSS3) - Remote",Jakarta, 1 – 3 tahun, IDR 4.700.000
UI/UX Designer,"Kuningan, Jakarta", 3 – 5 tahun, IDR 6.000.000 - 6.500.000
UI / UX Designer,, Kurang dari setahun,
SEO Specialist,"Grogol Petamburan, Jakarta", Kurang dari setahun,
Senior Graphic Designer,"Kelapa Gading, Jakarta", 1 – 3 tahun,
Public Relation,Jakarta, Kurang dari setahun,
Account Officer (AO),"Penjaringan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Customer Service,Jakarta, 1 – 3 tahun, IDR 3.700.000
Legal Officer,"Cakung, Jakarta", 1 – 3 tahun, IDR 4.300.000 - 5.500.000
HR Payroll ( Compensation and Benefit Specialist ),"Kebayoran Lama, Jakarta", 1 – 3 tahun,
Admin Teknik Sipil,Yogyakarta, 3 – 5 tahun, IDR 5.000.000 - 7.500.000
Graphic Designer Intern,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.500.000
Marketing Support (Administration Staff),"Cakung, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Community Manager,Bekasi, 3 – 5 tahun, IDR 6.000.000 - 7.000.000
Infrastructure System Engineer,Jakarta, 1 – 3 tahun,
Community Partnership Intern,Bandung, 1 – 3 tahun, IDR 4.300.000 - 6.000.000
HR Recruiter - Internship,Jakarta, 1 – 3 tahun,
Tiktok dan Social Media Specialist,Jakarta, 3 – 5 tahun,
Graphic Designer,Jakarta, 1 – 3 tahun,
Customer Service / Admin,Jakarta, 1 – 3 tahun, IDR 5.000.000
Product Manager,Jakarta, Kurang dari setahun,
Junior HRGA,"Pademangan, Jakarta", 3 – 5 tahun,
Marketing Manager,Yogyakarta, 1 – 3 tahun,
Import Logistic Staff,Bogor, 3 – 5 tahun, IDR 10.000.000
[Internship] UI/UX Designer,Jakarta, Kurang dari setahun,
CATI - Interviewer/Surveyor by Phone Freelance,Jakarta, Kurang dari setahun,
Design Graphic,Jakarta,, IDR 4.000.000 - 5.000.000
Senior Accounting,"Tanah Abang, Jakarta",,
Video Editor,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Junior Tax Consultant,Jakarta, 1 – 3 tahun,
Supervisor Jr,"Kebon Jeruk, Jakarta", 3 – 5 tahun,
Senior Administrative Assistant,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Account Manager,Bandung, 1 – 3 tahun, IDR 7.000.000 - 15.000.000
Store Manager (Depot),Jakarta, Kurang dari setahun,
Recruiter Intern,Tangerang, Kurang dari setahun,
Set and Stage Designer,,, IDR 1.000.000 - 1.500.000
Freelance Graphic Design,"Palmerah, Jakarta",,
Marketing Executive - Campaign Management,"Kelapa Gading, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 4.500.000
Freelance Customer Support,Jakarta, 3 – 5 tahun, IDR 5.000.000 - 7.000.000
Social Media Specialist,Jakarta, 1 – 3 tahun,
Warehouse Operation Internship,Jakarta, Kurang dari setahun,
Property Consultant,Surabaya, Kurang dari setahun,
Management Trainee Sales and Promotion,"Kuningan, Jakarta", 3 – 5 tahun,
Accounting,"Kuningan, Jakarta", 5 – 10 tahun, IDR 9.000.000 - 15.000.000
Legal/Compliance Specialist (Cryptocurrency),, 3 – 5 tahun, IDR 6.000.000 - 8.000.000
Sales Executive,Tangerang, Kurang dari setahun,
Staff Receiving,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 6.000.000
E-commerce Sales,Jakarta,,
Sales Executive,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 12.000.000
Graphic Designer,Surabaya, 1 – 3 tahun, IDR 1.800.000 - 2.400.000
Digital Marketing Supervisor,Jakarta, 1 – 3 tahun, IDR 7.000.000 - 12.000.000
HRGA Officer,"SCBD, Jakarta", Kurang dari setahun, IDR 1.500.000
Manager Operational Sablon,"Kuningan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 4.500.000
Admin Online,Jakarta, Kurang dari setahun,Login to view estimated salary by Glints.
Creative Copywriter / Content Writter / Content Planner,Bandung, 3 – 5 tahun, IDR 5.000.000 - 7.000.000
HR Generalist,"Kembangan, Jakarta", 1 – 3 tahun,
Frontend Developer,, 1 – 3 tahun, IDR 4.500.000 - 6.500.000
Freelance Operational,"Senopati, Jakarta", 1 – 3 tahun, IDR 0 - 6.000.000
Engineering ,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Event Manager ,"Kemayoran, Jakarta", 1 – 3 tahun, IDR 5.000.000
E-Commerce Specialist,"Menteng, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.000.000
HR GA ,"Gambir, Jakarta", 1 – 3 tahun, IDR 6.400.000 - 8.000.000
Social Media Officer,Jakarta, Kurang dari setahun, IDR 4.700.000 - 5.500.000
Graphic Designer,"Tanah Abang, Jakarta", 3 – 5 tahun, IDR 6.000.000 - 7.000.000
Admin Marketplace,Jakarta,,
Internal Audit Officer,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 2.500.000 - 4.000.000
Customer Services/Relation,Jakarta, 1 – 3 tahun,
sales gym BEKASI,Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
Business Analyst,"Kelapa Gading, Jakarta",,
Web Hosting Customer Success Specialist - Global Team,Yogyakarta, Kurang dari setahun, IDR 3.500.000 - 4.000.000
RND and QCA Admin,"Penjaringan, Jakarta", 3 – 5 tahun, IDR 12.000.000
"Finance, Accounting, and Tax Officer","Kelapa Gading, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.500.000
Graphic Design,"Tambora, Jakarta", 3 – 5 tahun, IDR 5.000.000 - 6.000.000
SEO INTERN,Bandung, 1 – 3 tahun, IDR 3.800.000 - 4.500.000
Marketing Communication Manager ,, 1 – 3 tahun,
Financial Risk Staff,Bandung, 1 – 3 tahun,Login to view estimated salary by Glints.
Banking Frontliner,Yogyakarta, Kurang dari setahun,
Building Manager ,Jakarta, Kurang dari setahun, IDR 3.000.000 - 4.000.000
Content Creator,"Senen, Jakarta", Kurang dari setahun, IDR 4.500.000 - 5.000.000
Finance Staff,, 3 – 5 tahun, IDR 10.000.000 - 14.000.000
Head of Marketing,"Menteng, Jakarta", Kurang dari setahun, IDR 5.100.000 - 9.355.000
Finance Account Payable,"Kebayoran Baru, Jakarta", Kurang dari setahun,
Admin Project,"Kuningan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 15.000.000
Marketing Officer,Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
Sales Admin,Bandung, Kurang dari setahun,
Content Creator,Tangerang, 3 – 5 tahun,Login to view estimated salary by Glints.
Customer Service / Admin,"Gambir, Jakarta", 1 – 3 tahun,
Business Development Manager,"Cengkareng, Jakarta", Kurang dari setahun, IDR 4.450.000 - 4.600.000
Public Relation,Depok, 3 – 5 tahun, IDR 10.000.000 - 15.000.000
MT SALES SUPERVISOR JAWA BARAT,Bekasi, Kurang dari setahun,
Associate Product Manager,Jakarta, 1 – 3 tahun,
Community and Partnership Specialist,Yogyakarta, 1 – 3 tahun, IDR 30.000.000 - 48.000.000
Photo & Videographer,Bogor, 1 – 3 tahun,
Social Media Officer,"Grogol Petamburan, Jakarta",, IDR 1.500.000 - 2.500.000
GRAPHIC DESIGNER,Jakarta,,
Copywriter,Malang, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Customer Service,Jakarta, 1 – 3 tahun,
Business Development / Partnership Staff,"Kembangan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.500.000
Admin E-Commerce,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Jr. Creative Planner - Internship,Semarang, 1 – 3 tahun, IDR 7.000.000 - 8.000.000
ADS OPERATION MANAGER,"Tanah Abang, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Social Media Strategist,Tangerang, Kurang dari setahun,
Freelance Operations [Pekanbaru],Ubud, 1 – 3 tahun,
Content Creator Intern,"Sunter, Jakarta", Kurang dari setahun,Login to view estimated salary by Glints.
Design Graphic Staff,Jakarta, 1 – 3 tahun, IDR 5.000.000
Daily Worker-Pembuat Kancing Shanghai,, 1 – 3 tahun, IDR 4.000.000 - 5.500.000
Manager Coffee Shop - Head Barista,"Kebon Jeruk, Jakarta", Kurang dari setahun,
Digital Marketing Supervisor,Bekasi, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Content Creative Designer,"Tambora, Jakarta", 1 – 3 tahun,
MARKETING E-COMMERCE ,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Content Creator Tiktok,"SCBD, Jakarta", 1 – 3 tahun, IDR 3.000.000
Lowongan Kerja Customer Service,"Kemang, Jakarta",,
Admin - Adminsitrator Social Media Youtube IG Facebook TikTok,Bandung, 1 – 3 tahun,Login to view estimated salary by Glints.
UI/UX Internship (Bonus-Based),Jakarta, 3 – 5 tahun, IDR 9.000.000 - 12.000.000
CONTENT CREATOR & SOCIAL MEDIA CREATIVE,"Blok M, Jakarta",,
SOCIAL MEDIA ADMIN INTERNSHIP,Jakarta, Kurang dari setahun,
Software Quality Assurance Engineer,"Tanah Abang, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.000.000
IT Operation Staff,Yogyakarta, Kurang dari setahun, IDR 1.500.000 - 2.000.000
Civil Engineer,Tangerang, 1 – 3 tahun,
Business Development - Market Analyst (Internship),"Kelapa Gading, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Full Stack Web Engineer (614),"Kuningan, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 5.000.000
Graphic Designer,Yogyakarta, 1 – 3 tahun, IDR 4.200.000 - 5.500.000
Software Engineer Intern,"Kelapa Gading, Jakarta", 1 – 3 tahun,
Kol Specialist,,, IDR 2.500.000 - 5.000.000
Business Development - Jakarta,Jakarta,,
Admin Marketplace,Jakarta, Kurang dari setahun, IDR 1.500.000 - 2.000.000
Quantity Surveyor (Sipil / ME),Pekanbaru,,
Photo Editor - Night Shift,, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Area Manager F&B,Jakarta, Kurang dari setahun,
PRAMUSAJI CHINESE RESTAURANT,"Cengkareng, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 7.500.000
Paid Intern General Affairs,Jakarta, Kurang dari setahun, IDR 400
Data Analyst,"Cilandak, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Admin Invoice Magang,"Cengkareng, Jakarta", Kurang dari setahun, IDR 2.000.000 - 10.000.000
CONTENT CREATOR,Bandung, 3 – 5 tahun, IDR 20.000.000 - 30.000.000
LOWONGAN CONTENT CREATOR FOR TIKTOK AND LIVE IN SOCIAL MEDIA,"Kemayoran, Jakarta", 1 – 3 tahun,
Admin Penjualan (Telesales),"Palmerah, Jakarta", Kurang dari setahun, IDR 2.000.000 - 4.000.000
Performance Control,Tangerang, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Accounting Intern,, 1 – 3 tahun,Login to view estimated salary by Glints.
Online Business Development,Surabaya, 1 – 3 tahun, IDR 3.000.000 - 5.000.000
Customer Service Representative,Jakarta, 5 – 10 tahun, IDR 5.000.000 - 6.500.000
WAREHOUSE SUPERVISOR,, Kurang dari setahun, IDR 4.000.000 - 5.500.000
Media Analis,Jakarta, 3 – 5 tahun,
ORGANIZATION AND PEOPLE DEVELOPMENT SPECIALIST,Malang, 1 – 3 tahun,Login to view estimated salary by Glints.
Content Creator,Jakarta, Kurang dari setahun,
GRAPHIC DESIGNER,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Graphic Designer,Surabaya, Kurang dari setahun,
Staff Digital Marketing,Jakarta, Kurang dari setahun,
ADMIN HRD,"Senayan, Jakarta", Kurang dari setahun, IDR 4.500.000 - 5.000.000
Content Creator Intern,"Palmerah, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 5.000.100
Internal Auditor/Risk Management/Cost Control,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Administration Staff EF English First - Tanjung Duren (Temporary For Maternity Leave),Bekasi, Kurang dari setahun,
Legal and Compliance Assistant Manager,Jakarta, 3 – 5 tahun,
Marketing Admin,Bogor, 1 – 3 tahun,Login to view estimated salary by Glints.
UI/UX Designer,Bekasi, 3 – 5 tahun,
Customer Service,"Kebon Jeruk, Jakarta", Kurang dari setahun, IDR 4.500.000 - 7.800.000
Social Media Admin,Jakarta, 1 – 3 tahun,
Videographer/Editor,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Accounting Officer ,Yogyakarta, Kurang dari setahun, IDR 4.000.000 - 5.000.000
Inventory Controller,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Admin Marketplace,Tangerang, 1 – 3 tahun, IDR 3.500.000 - 4.500.000
Copywriter,Yogyakarta, Kurang dari setahun,
Mining Admin,"Pademangan, Jakarta",, IDR 2.000.000 - 2.500.000
Admin CS - SMA/K,"Koja, Jakarta",,
Graphic Designer,"Pancoran, Jakarta",,
Backend Engineer,"Palmerah, Jakarta", 1 – 3 tahun,
Design Lead,Bandung, 3 – 5 tahun,
Officer Tax,"TB Simatupang, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 4.000.000
STAFF GENERAL AFFAIR,Serpong, 1 – 3 tahun,
Staff Finance,South Tangerang, 1 – 3 tahun, IDR 3.500.000
Content Strategist ,"Pasar Minggu, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Recruitmen Officer,"Pademangan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.000.000
QA Engineer,Jakarta,,
Finance Intern,Malang, 1 – 3 tahun, IDR 5.000.000 - 5.250.000
Recruitment Officer,Bekasi, 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Marketing Staff,Yogyakarta, 1 – 3 tahun,
HR Associate,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Software Quality Assurance,, Kurang dari setahun,
LOGISTICS ADMIN - AVIATION,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
STAFF TAX,, 1 – 3 tahun, IDR 10.000.000 - 20.000.000
Personal Assistant and Secretary to CEO,Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Staff Admin,"Tanah Abang, Jakarta", 1 – 3 tahun,
Graphic Designer,"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 4.800.000
Account Executive (Entertainment),Depok, 1 – 3 tahun,
Graphic Design Internship,"Pondok Indah, Jakarta", 1 – 3 tahun, IDR 3.800.000 - 4.500.000
PHP Magento Developer,Jakarta, 1 – 3 tahun,
Staff Mekanik,"Kalideres, Jakarta", 1 – 3 tahun, IDR 10.000.000 - 18.000.000
General Affair (GA) Manager,Jakarta, 1 – 3 tahun, IDR 500.000 - 2.000.000
SOSIAL MEDIA MANAGER ,, 1 – 3 tahun,
Project Officer,Jakarta, 1 – 3 tahun,
Staff Administrasi - Bandung,Bandung, 1 – 3 tahun,
Finance Accounting Manager Mandarin,Surabaya,, IDR 4.700.000 - 6.000.000
Adm Sales/Adm Finance/Adm Gudang,Semarang,,
Junior Talent Acquisition Officer,"Kebayoran Lama, Jakarta", 1 – 3 tahun,
FrontEnd Developer (React JS),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.500.000
SALES EXECUTIVE,"Gambir, Jakarta", 5 – 10 tahun, IDR 8.000.000 - 15.000.000
Internal Audit,"Setiabudi, Jakarta", 1 – 3 tahun,
Web Developer,Jakarta, 1 – 3 tahun, IDR 4.500.000
STORE MANAGER,"Kemayoran, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Business Development Manager,"Tambora, Jakarta", Kurang dari setahun,
Credit Admin Staff - Tangerang,Bandung, 5 – 10 tahun, SGD 15.000.000 - 25.000.000
HR Staff,"Sunter, Jakarta", 1 – 3 tahun,
HR Manager,"Kuningan, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
HRD & GA,Jakarta, 1 – 3 tahun,
Account Executive,"Palmerah, Jakarta", 1 – 3 tahun,
Legal Staff,Surabaya, 1 – 3 tahun, IDR 2.900.000
Admin,"Kuningan, Jakarta", 5 – 10 tahun, IDR 35.000.000 - 40.000.000
Social Media - Live Shopping Host (Urgently Needed),Jakarta, 1 – 3 tahun, IDR 2.500.000 - 3.000.000
Part Time Barista,, 1 – 3 tahun, IDR 6.000.000 - 9.000.000
Trucking Coordinator,Jakarta, 1 – 3 tahun, IDR 10.000.000
Admin E-Commerce,"Gambir, Jakarta", 1 – 3 tahun, IDR 4.200.000 - 5.000.000
Business Analyst,"Kuningan, Jakarta", 1 – 3 tahun, IDR 5.500.000 - 6.500.000
IT SUPPORT,Medan,,
Video Editor ,Denpasar, 3 – 5 tahun, IDR 5.000.000 - 6.000.000
Web Programmer,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 12.000.000 - 17.800.000
Corporate Sales B2B,"Tebet, Jakarta", Kurang dari setahun,
PHP PROGRAMMER (LARAVEL & CI),Batam, Kurang dari setahun,
Brand Manager,"Penjaringan, Jakarta", 3 – 5 tahun, IDR 15.000.000 - 20.000.100
Digital Marketing Internship / Magang,"Kembangan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Human Capital People Operation,"Kembangan, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Data Analyst,Kemang, 1 – 3 tahun,
Business Development,Bandung, 1 – 3 tahun,
Legal Officer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Tax  Accounting,"Kemayoran, Jakarta", Kurang dari setahun,
Finance Specialist,Jakarta, 1 – 3 tahun,
Learning Facilitator,"Kebayoran Baru, Jakarta", 1 – 3 tahun,
Social Media Specialist (Hybrid),"Cengkareng, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 8.000.000
IT Support,"Gambir, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Brand Specialist,Bandung,,
Drafter MEP,, 1 – 3 tahun,Login to view estimated salary by Glints.
In House Graphic Designer,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Content and Social Media Specialist,Jakarta, 1 – 3 tahun, IDR 5 - 8
Social Media Admin,Tangerang, 1 – 3 tahun, IDR 15.000.000 - 25.000.000
